TeacherID,TeacherName,Age,Gender,Expertise,YearsOfExperience,TeacherRating,DistinctCoursesTaught,TotalEnrollments,AvgEnrollmentsPerCourse,EnrollmentInfluenceRatio,RatingConsistencyIndex,CourseRatingMean,RatingTier
TC00001,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,15,36,2.4,0.2128799999999999,0.4145837976094349,3.3406666666666665,Mid
TC00002,Jill Day,32,Female,Digital Marketing,9,4.14,9,68,7.555555555555555,0.6701777777777778,0.4931006678767582,3.12,High
TC00003,Amber Torres,32,Male,Design,4,1.56,15,59,3.933333333333333,0.3488866666666666,0.4524584752890009,3.2,Low
TC00004,Kristi Scott,34,Female,Machine Learning,9,4.39,8,47,5.875,0.5211125,0.4503394273533212,2.4925,High
TC00005,David Williams,34,Male,Finance,2,3.11,18,47,2.611111111111111,0.2316055555555555,0.4501021364875502,3.2922222222222226,Mid
TC00006,Rebecca Webb,49,Male,Cybersecurity,14,3.36,15,48,3.2,0.28384,0.4418607786924647,3.0626666666666664,Mid
TC00007,Angela Beard,28,Female,Machine Learning,6,4.36,9,49,5.444444444444445,0.4829222222222222,0.4570845160365309,2.752222222222222,High
TC00008,Steven Walker,41,Male,Data Science,15,3.54,9,133,14.77777777777778,1.310788888888889,0.5852718253263408,3.036666666666666,High
TC00009,Alexander Tucker,49,Female,Project Management,2,2.22,15,58,3.8666666666666663,0.3429733333333333,0.4117584972896819,2.9993333333333334,Low
TC00010,Frances Sanchez,29,Male,Data Science,1,2.18,17,81,4.764705882352941,0.4226294117647058,0.4645147102492329,3.393529411764706,Low
TC00011,Carol Edwards,37,Female,Artificial Intelligence,8,3.55,9,46,5.111111111111111,0.4533555555555555,0.501360147698668,2.775555555555556,High
TC00012,Christopher Nelson,48,Female,Cybersecurity,2,3.85,9,26,2.888888888888889,0.2562444444444444,0.4591443390355462,2.806666666666666,High
TC00013,Brian Carrillo,35,Female,Digital Marketing,6,3.42,14,23,1.6428571428571428,0.1457214285714285,0.4623284537044803,3.3264285714285715,Mid
TC00014,Susan Randolph,49,Male,Project Management,3,2.45,13,57,4.384615384615385,0.3889153846153846,0.3865351994195584,3.234615384615384,Low
TC00015,John Armstrong,43,Male,Data Science,7,3.07,20,61,3.05,0.2705349999999999,0.4597980271760508,3.1710000000000003,Mid
TC00016,David Carlson,33,Male,Data Science,1,2.92,17,108,6.352941176470588,0.5635058823529412,0.4636986621913955,3.118823529411765,Low
TC00017,Brian Perez,36,Male,Digital Marketing,4,2.33,17,51,3.0,0.2661,0.4557277588072251,3.3729411764705883,Low
TC00018,Kari Pierce,47,Female,Project Management,11,4.28,8,93,11.625,1.0311375,0.4125348047353445,2.91375,High
TC00019,Tommy Haynes,35,Male,Digital Marketing,8,3.4,17,35,2.0588235294117645,0.1826176470588235,0.5131500797703554,3.477058823529412,Mid
TC00020,Tara Reynolds,44,Female,Digital Marketing,10,3.23,14,25,1.7857142857142858,0.1583928571428571,0.4657998280959756,3.619285714285714,Mid
TC00021,Adam Holmes,34,Female,Machine Learning,2,3.99,9,51,5.666666666666667,0.5026333333333334,0.4570845160365309,2.752222222222222,High
TC00022,John Holmes,33,Male,Digital Marketing,3,2.5,16,42,2.625,0.2328375,0.438046246844023,3.0475,Low
TC00023,Robert Mack,32,Male,Finance,4,2.99,18,95,5.277777777777778,0.4681388888888889,0.4355560461372212,3.0072222222222225,Mid
TC00024,Michael Kim,40,Male,Digital Marketing,6,4.22,8,57,7.125,0.6319875,0.5010724429188965,3.265,High
TC00025,Justin Pham,29,Male,Web Development,4,2.17,15,48,3.2,0.28384,0.4471107988349294,2.9106666666666663,Low
